породы,Агрессивность,Дрессировка,Потребность в уходе,Здоровье,Отношение к одиночеству,Шум,Активность,Линька,Дружелюбность,Интелект,Охранные качества,размер,редкость,отношение к детям,Время затратность
Сенбернар,1,7,7,5,5,5,4,9,9,7,10,9,5,10,7
Сиба-ину,7,5,7,6,6,4,9,9,7,6,5,4,1,5,8
Сибирский хаски,1,3,8,8,4,3,10,9,9,9,2,7,5,5,10
Скай-терьер,4,6,6,4,5,5,7,6,9,7,9,3,6,6,7
Скотч-терьер,7,3,8,4,5,5,9,3,5,10,7,3,3,9,7
"Стаффордширский бультерьер
",7,7,6,7,3,4,9,4,7,9,5,6,9,5,8
Тайский риджбек,7,5,3,8,5,5,10,4,7,9,6,9,9,10,7
Такса,6,3,3,6,6,7,5,5,7,8,4,4,1,5,6
Тибетский мастиф,7,6,7,7,9,5,6,6,9,5,9,10,9,7,8
Тибетский спаниель,3,7,5,9,3,9,3,6,6,7,9,1,7,8,8
Тоса-ину,7,5,5,6,3,3,8,2,7,9,8,10,7,5,5
Уиппет,7,7,5,6,5,8,10,3,9,6,5,6,8,5,10
Фараонова собака,7,6,3,3,5,10,9,3,7,7,7,9,8,6,10
Фокстерьер,7,3,5,9,5,8,8,3,6,7,4,5,3,9,9
Французский бульдог,5,5,5,5,3,3,4,5,8,7,5,3,2,10,2
Хотошо,4,7,5,10,8,7,9,7,8,8,10,9,10,7,9
Цвергпинчер,9,8,3,9,4,7,7,5,5,9,5,3,7,9,8
Цвергшнауцер,5,8,8,6,5,7,6,3,5,10,5,4,6,7,7
Чау-чау,9,3,10,3,5,5,3,3,6,5,6,9,7,9,7
Чесапик-бей-ретривер,4,9,3,7,7,3,9,9,9,10,9,7,9,9,9
Чехословацкий влчак,5,7,5,8,3,4,9,4,6,10,10,7,8,2,9
Чирнеко дель Этна,7,7,6,7,3,4,9,3,9,8,7,7,9,8,9
Чихуахуа,3,6,5,8,5,8,4,5,7,6,1,1,1,5,1
Шарпей,6,5,7,3,9,5,5,6,5,8,5,6,7,10,8
Шелти,2,8,9,9,4,4,10,10,8,9,9,5,5,10,7
Ши-тцу,2,7,8,7,5,4,5,3,9,7,9,3,7,6,9
Шипперке,7,7,4,9,5,9,9,8,7,8,8,3,5,9,5
Шотландская овчарка (колли),1,10,9,7,5,8,7,9,9,9,1,7,3,9,9
Шотландский сеттер,3,10,10,5,3,9,9,8,10,10,9,8,5,9,7
Энтлебухер зенненхунд,4,6,3,6,4,5,9,5,9,9,9,5,6,9,7
Эрдельтерьер,5,7,6,7,6,9,10,3,8,9,10,9,5,7,7
Эстонская гончая,3,9,7,9,3,3,7,3,7,9,6,7,7,5,9
Южнорусская овчарка,5,7,8,8,7,3,9,10,5,7,9,8,7,7,8
Якутская лайка,2,9,6,7,5,5,9,9,10,10,3,9,6,5,10
Японский хин,2,5,5,5,2,9,7,6,9,5,2,3,5,9,1
Японский шпиц,2,9,5,5,5,4,9,6,10,9,8,3,6,8,5
